Tract Code (id),City,Median Age,Median Household Income,Percent People in Poverty,Population Density (Persons/Acre),# of Nearby Restaurants,# of Nearby Coffee Shops,# of Nearby Mosques,lat,lon,transit_stops,pedestrian_score,county_id,income_bracket,density_bracket
1010,Belleville,0.33746898263027314,0.14543271932703594,0.14031151892129223,0.24882017844408327,0.45,0.45,0.0,42.1859085,-83.37746188,0.0,0.11393399685699318,163.0,Middle,Moderate
1015,Brownstown Twp,0.4168734491315137,0.2855016882550502,0.21672318305767843,0.10910923567827187,0.2,0.0,0.0,42.1184995,-83.47200231,0.0,0.028810895756940805,157.0,Upper-Middle,Low
1025,Dearborn,0.1389578163771713,0.16909526614183146,0.5855549711728582,0.32884637833242664,0.75,0.6000000000000001,1.0,42.4118245,-83.09530753,0.0,0.3135149292823467,157.0,Upper-Middle,Moderate
1040,Ecorse,0.23076923076923073,0.07868032856905212,0.5789380255317578,0.24874220430582794,0.1,0.0,0.0,42.1039985,-83.47037242,0.0,0.01676270298585647,163.0,Middle,Moderate
1045,Flat Rock(Wayne),0.2803970223325062,0.2054950341472626,0.2963409521336375,0.11552374240686533,1.0,0.45,0.10526315789473684,42.3218705,-83.05464879,0.0,0.3098480880041906,163.0,Upper-Middle,Low
1050,Garden City,0.3424317617866005,0.1655164351966334,0.2663147839229553,0.3436619448074312,0.8500000000000001,0.8,1.0,42.372107,-83.05508848,0.0,0.26244106862231525,163.0,Upper-Middle,Moderate
1055,Gibraltar,0.5310173697270472,0.27470674717537624,0.05038501913592471,0.09732348817720624,0.9500000000000001,0.5,0.05263157894736842,42.306662,-83.10107586,0.0,0.3027763226820324,163.0,Upper-Middle,Low
1060,Grosse Ile Twp,0.5955334987593054,0.4376964198202492,0.09170316320348122,0.08682354948986934,0.9500000000000001,1.0,0.9473684210526315,42.3958685,-83.02481607,0.0,0.33001571503404914,57.0,High,Low
1065,Grosse Pointe,0.4094292803970224,0.5143580359591582,0.048875532561257956,0.3920418999861414,1.0,0.9,0.10526315789473684,42.3364615,-83.07103609,0.0,0.894447354635935,163.0,High,Moderate
1070,Grosse Pointe Farms,0.5955334987593054,0.5980019692562236,0.054088644912480895,0.27189482119929087,0.6000000000000001,0.35000000000000003,0.3684210526315789,42.412984,-83.02796902,0.0,0.1726034573074908,161.0,High,Moderate
