Tract Code (id),City,Median Age,Median Household Income,Percent People in Poverty,Population Density (Persons/Acre),# of Nearby Restaurants,# of Nearby Coffee Shops,# of Nearby Mosques,lat,lon,transit_stops,pedestrian_score,county_id
5,Detroit,35.1,39575,0.315116322,7.145274972,3,6,0,42.3529835,-82.9241044,1,,163
1005,Allen Park,43.2,80045,0.060543245,6.264587973,14,0,0,42.1667305,-83.53116299,1,,163
1010,Belleville,40.6,59929,0.061348144,5.211842105,9,9,0,42.1859085,-83.37746188,1,0.876,163
1015,Brownstown Twp,43.8,91083,0.092478872,2.318450704,4,0,0,42.1184995,-83.47200231,1,0.226,157
1020,Canton Twp,40,118010,0.055197858,4.252467532,20,9,0,42.214829,-83.46047532,1,,157
1025,Dearborn,32.6,65192,0.242743916,6.869171975,15,12,19,42.4118245,-83.09530753,1,2.4,157
1030,Dearborn Heights,35.8,61035,0.204192143,8.24687915,13,14,0,42.1992725,-83.37760354,1,,163
1040,Ecorse,36.3,45082,0.240048119,5.210227273,2,0,0,42.1039985,-83.47037242,1,0.134,163
1045,Flat Rock(Wayne),38.3,73288,0.124915793,2.451294118,20,9,2,42.3218705,-83.05464879,1,2.372,163
1050,Garden City,40.8,64396,0.11268289,7.176,17,16,19,42.372107,-83.05508848,1,2.01,163
1055,Gibraltar,48.4,88682,0.024711363,2.074369748,19,10,1,42.306662,-83.10107586,1,2.318,163
1060,Grosse Ile Twp,51,124934,0.041544708,1.856917688,19,20,18,42.3958685,-83.02481607,1,2.526,57
1065,Grosse Pointe,43.5,141985,0.024096386,8.177941176,20,18,2,42.3364615,-83.07103609,1,6.836,163
1070,Grosse Pointe Farms,51,160589,0.02622025,5.689714286,12,7,7,42.412984,-83.02796902,1,1.324,161
1075,Grosse Pointe Park,40.5,121796,0.05346465,8.197122302,20,12,2,42.32527,-83.06140816,1,6.506,151
1085,Grosse Pointe Woods,43.3,129442,0.043453689,7.814975845,18,8,1,42.2987805,-83.10334573,1,1.88,145
1090,Hamtramck,27,40103,0.382104034,20.76865672,19,10,1,42.305196,-83.10162443,1,2.06,151
1095,Harper Woods,37.1,61446,0.197762685,9.050595238,18,11,1,42.3037565,-83.09738216,1,1.838,161
1100,Highland Park,45.1,27582,0.411592162,4.655026455,3,5,0,42.3017565,-83.10409977,1,0.638,161
1105,Huron Twp,42.8,90890,0.07305282,0.734628821,16,10,3,42.297726,-83.11612888,1,1.706,145
1110,Inkster,34.4,39632,0.363162229,6.4005,15,11,1,42.29738,-83.1124705,1,1.532,163
1115,Lincoln Park,34.9,57183,0.221309189,10.5644385,7,7,4,42.295894,-83.12681422,1,1.682,163
1120,Livonia,45.1,96317,0.047086338,4.107336245,11,10,6,42.2918205,-83.13188373,1,1.386,145
1125,Melvindale,31.6,41356,0.343911146,7.161931818,8,6,6,42.2921595,-83.13537019,1,1.148,163
1135,Northville Twp,45.4,141816,0.02893367,2.961603774,15,12,5,42.2915755,-83.12905231,1,1.86,163
1140,Plymouth,44.1,111742,0.030644983,6.502816901,17,14,6,42.2891765,-83.13392114,1,1.516,163
1145,Plymouth Twp,46.8,110089,0.040438632,2.674660194,14,11,4,42.2935215,-83.12531227,1,2.02,163
1150,Redford Twp,38.1,67044,0.1156627,6.753888889,16,11,3,42.294439,-83.1139205,1,1.896,163
1155,River Rouge,36.6,32568,0.400169205,3.94,15,10,1,42.296981,-83.10973923,1,1.348,163
1160,Riverview,41.2,71783,0.081884368,4.35070922,14,10,1,42.29442,-83.11156335,1,1.65,163
1165,Rockwood,42.2,85391,0.102226403,1.843352601,15,10,1,42.29505,-83.10834549,1,1.48,71
1170,Romulus,35.5,72235,0.109925207,1.084826087,9,4,3,42.287637,-83.1269893,1,1.12,163
1175,Southgate,39.4,64635,0.097961688,6.716136364,10,6,4,42.289667,-83.12479556,1,1.594,163
1180,Sumpter Twp,41.3,72917,0.119517314,0.3995,14,10,3,42.292307,-83.12006645,1,1.98,163
1185,Taylor,38.3,59537,0.167055507,4.132781457,16,10,3,42.292521,-83.11428851,1,1.808,163
1190,Trenton,48.3,78565,0.071875173,3.864830508,13,10,3,42.2916165,-83.11626525,1,1.748,163
1200,Van Buren Twp,42.9,75608,0.11415189,1.302294372,12,10,3,42.291358,-83.1218387,1,1.882,163
1205,Wayne,39.5,54467,0.153367815,4.522857143,0,0,0,45.072146,-84.36592414,1,0.012,119
1210,Westland,38.2,62216,0.132849574,6.424045802,0,0,0,46.266134,-88.96719865,1,,71
1215,Woodhaven,45.5,83291,0.121212121,3.097330097,3,1,0,43.6864455,-85.83781969,1,0.166,123
1220,Wyandotte,40.7,67846,0.153442623,7.297626113,0,0,0,46.3853355,-88.12679869,1,,71
2005,Addison Twp,46,104495,0.047327205,0.258201754,0,0,0,42.7307885,-83.59564627,1,,163
2010,Rochester Hills,40.9,119054,0.04938989,3.605971564,5,1,0,42.67297,-83.65154406,1,0.252,157
