name,address,lat,lon,county
Qamaria Yemeni Coffee - Canton,"1723 S Haggerty Rd, Canton",42.2946193,-83.44704670000002,Wayne
Qamaria Yemeni Coffee,"7706 Allen Rd, Allen Park",42.2526373,-83.21652370000001,Wayne
Qamaria Yemeni Coffee Co.,"40200 W 14 Mile Rd, Commerce Township",42.5280698,-83.4431994,Wayne
Qamaria Yemeni Coffee Co.,"19727 Mack Ave, Grosse Pointe",42.4276591,-82.9100235,Wayne
Qamaria Yemeni Coffee - Dearborn,"25245 Ford Rd Suite B, Dearborn",42.32651389999999,-83.28569519999999,Wayne
Qamaria Yemeni Coffee,"10509 Dix Ave, Dearborn",42.3022195,-83.1460721,Wayne
Matari Coffee Co.,"6124 N Canton Center Rd, Canton",42.3270614,-83.48756499999999,Wayne
Dellah Coffee & Brunch House,"20219 Carlysle St suite d, Dearborn",42.28409569999999,-83.2347915,Wayne
Matari Coffee Co,"6225 Orchard Lake Rd, West Bloomfield Township",42.54687000000001,-83.3596336,Wayne
Yemeni Corner Coffee House,"350 Cabana Road E, Windsor",42.2590405,-82.99698939999999,Wayne
Finjan Cafe,"28251 Ford Rd, Garden City",42.3255991,-83.31984849999999,Wayne
ALWADI COFFEE,"44601 Five Mile Rd, Plymouth",42.3949459,-83.4834812,Wayne
Shibam Coffee,"5461 Schaefer Rd, Dearborn",42.3280482,-83.1763624,Wayne
Diwan Cafe,"5125 Schaefer Rd, Dearborn",42.325169,-83.1763934,Wayne
Qahwah House Canton,"42051 Ford Rd, Canton",42.3214574,-83.4564518,Wayne
Haraz Coffee House,"13810 Michigan Ave, Dearborn",42.32170379999999,-83.17865410000002,Wayne
Qahwah House W Dearborn,"22000 Michigan Ave, Dearborn",42.3062633,-83.2444355,Wayne
Qahwah House,"6655 Schaefer Rd, Dearborn",42.3401583,-83.1768639,Wayne
Qahwah House - West Bloomfield,"33260 W 14 Mile Rd, West Bloomfield Township",42.52894999999999,-83.3782268,Wayne
Qahwah House - Dearborn Heights,"26713 Ford Rd, Dearborn Heights",42.3259003,-83.30349609999999,Wayne
Qamaria Yemeni Coffee Co.,"5385 Crooks Rd, Troy",42.5967142,-83.1695517,Oakland
Haraz Coffee House,"32766 Ryan Rd, Warren",42.5336791,-83.0679956,Oakland
Yemen Cafe Restaurant,"8740 Joseph Campau Ave, Hamtramck",42.3901792,-83.053304,Oakland
VIP Subs,"29111 W 8 Mile Rd, Livonia",42.4410786,-83.33462879999999,Oakland
Red Sea Coast Coffee,"38221 Plymouth Rd Suite 5, Livonia",42.3695934,-83.4203114,Oakland
Remas Restaurant,"11444 Joseph Campau Ave, Hamtramck",42.40146319999999,-83.06053920000001,Oakland
Azal Coffee,"15010 W Warren Ave Suite 113, Dearborn",42.3440471,-83.1912456,Oakland
Hunger Fix,"23303 Orchard Lake Rd, Farmington",42.4629407,-83.3573504,Oakland
Rawaq Coffee,"2891 Jackson Ave, Ann Arbor",42.2823664,-83.7878087,Washtenaw
Socotra Coffee House,"3130 Packard St, Ann Arbor",42.2446047,-83.6975564,Washtenaw
Shish Palace,"2722 Washtenaw Ave, Ypsilanti",42.25107430000001,-83.6534413,Washtenaw
KOKABON COFFEE,"41812 Ford Rd, Canton",42.3235865,-83.4542092,Washtenaw
Shibam Coffee,"1905 S Haggerty Rd, Canton",42.2933416,-83.44703249999999,Washtenaw
Kenz Coffee House,"42456 Cherry Hill Rd, Canton",42.3086371,-83.4590819,Washtenaw
Qahwah House - Ann Arbor,"211 N Maple Rd, Ann Arbor",42.2835355,-83.781573,Washtenaw
Souq Al Yemen,"7268 Maplelawn Dr, Ypsilanti Township",42.1842149,-83.5738185,Monroe
