Tract Code (id),Center of Tract,City,Median Age,Median Household Income,Percent People in Poverty,Population Density (Persons/Acre),# of Nearby Moques,# of Nearby Restaurants,# of Nearby Coffee Shops,# of Nearby Mosques
5,"42.3529835, -82.9241044",Detroit,35.1,39575,0.315116322,7.145274972,,,,
1005,"42.1667305, -83.53116299060949",Allen Park,43.2,80045,0.060543245,6.264587973,,14.0,0.0,0.0
1010,"42.18590849999998, -83.37746188095753",Belleville,40.6,59929,0.061348144,5.211842105,,9.0,9.0,0.0
1015,"42.1184995, -83.47200230662693",Brownstown Twp,43.8,91083,0.092478872,2.318450704,,4.0,0.0,0.0
1020,"42.214828999999995, -83.46047532269672",Canton Twp,40.0,118010,0.055197858,4.252467532,,20.0,9.0,0.0
1025,"42.411824499999994, -83.09530752548852",Dearborn,32.6,65192,0.242743916,6.869171975,,15.0,12.0,19.0
1030,"42.199272500000006, -83.37760353571429",Dearborn Heights,35.8,61035,0.204192143,8.24687915,,13.0,14.0,0.0
1040,"42.1039985, -83.47037242093374",Ecorse,36.3,45082,0.240048119,5.210227273,,2.0,0.0,0.0
1045,"42.3218705, -83.05464878845169",Flat Rock(Wayne),38.3,73288,0.124915793,2.451294118,,20.0,9.0,2.0
1050,"42.372107, -83.05508848203286",Garden City,40.8,64396,0.11268289,7.176,,17.0,17.0,19.0
1055,"42.306662, -83.1010758640625",Gibraltar,48.4,88682,0.024711363,2.074369748,,19.0,10.0,1.0
1060,"42.39586849999999, -83.02481607122897",Grosse Ile Twp,51.0,124934,0.041544708,1.856917688,,19.0,20.0,18.0
1065,"42.33646149999999, -83.07103608823158",Grosse Pointe,43.5,141985,0.024096386,8.177941176,,20.0,18.0,2.0
1070,"42.412983999999994, -83.02796901641715",Grosse Pointe Farms,51.0,160589,0.02622025,5.689714286,,12.0,7.0,7.0
1075,"42.32527, -83.06140816386147",Grosse Pointe Park,40.5,121796,0.05346465,8.197122302,,20.0,13.0,2.0
1085,"42.29878049999999, -83.10334573397151",Grosse Pointe Woods,43.3,129442,0.043453689,7.814975845,,18.0,8.0,1.0
1090,"42.305195999999995, -83.10162442886985",Hamtramck,27.0,40103,0.382104034,20.76865672,,19.0,10.0,1.0
1095,"42.30375649999999, -83.09738216383903",Harper Woods,37.1,61446,0.197762685,9.050595238,,18.0,11.0,1.0
1100,"42.301756499999996, -83.10409976875",Highland Park,45.1,27582,0.411592162,4.655026455,,3.0,5.0,0.0
1105,"42.297726, -83.11612887661406",Huron Twp,42.8,90890,0.07305282,0.734628821,,16.0,10.0,3.0
1110,"42.297380000000004, -83.1124705",Inkster,34.4,39632,0.363162229,6.4005,,15.0,11.0,1.0
1115,"42.29589399999999, -83.12681421630728",Lincoln Park,34.9,57183,0.221309189,10.5644385,,7.0,7.0,4.0
1120,"42.2918205, -83.13188372512707",Livonia,45.1,96317,0.047086338,4.107336245,,11.0,10.0,6.0
1125,"42.2921595, -83.13537019010417",Melvindale,31.6,41356,0.343911146,7.161931818,,8.0,6.0,6.0
1135,"42.29157549999999, -83.12905231324036",Northville Twp,45.4,141816,0.02893367,2.961603774,,15.0,12.0,5.0
1140,"42.289176499999996, -83.13392114259258",Plymouth,44.1,111742,0.030644983,6.502816901,,17.0,14.0,6.0
1145,"42.29352149999998, -83.12531227227294",Plymouth Twp,46.8,110089,0.040438632,2.674660194,,14.0,11.0,4.0
1150,"42.294439, -83.1139205011221",Redford Twp,38.1,67044,0.1156627,6.753888889,,16.0,11.0,3.0
1155,"42.29698099999999, -83.1097392311487",River Rouge,36.6,32568,0.400169205,3.94,,15.0,10.0,1.0
1160,"42.294419999999995, -83.11156334876725",Riverview,41.2,71783,0.081884368,4.35070922,,14.0,10.0,1.0
1165,"42.295049999999996, -83.10834548830327",Rockwood,42.2,85391,0.102226403,1.843352601,,15.0,10.0,1.0
1170,"42.287637000000004, -83.12698930333211",Romulus,35.5,72235,0.109925207,1.084826087,,9.0,4.0,3.0
1175,"42.28966700000001, -83.12479556361819",Southgate,39.4,64635,0.097961688,6.716136364,,10.0,6.0,4.0
1180,"42.292306999999994, -83.12006644895592",Sumpter Twp,41.3,72917,0.119517314,0.3995,,14.0,10.0,3.0
1185,"42.29252099999999, -83.11428851127495",Taylor,38.3,59537,0.167055507,4.132781457,,16.0,10.0,3.0
1190,"42.2916165, -83.11626525438005",Trenton,48.3,78565,0.071875173,3.864830508,,13.0,10.0,3.0
1200,"42.291358, -83.12183870487105",Van Buren Twp,42.9,75608,0.11415189,1.302294372,,12.0,10.0,3.0
1205,"45.072146, -84.36592413946092",Wayne,39.5,54467,0.153367815,4.522857143,,,,
1210,"46.266134, -88.96719865072464",Westland,38.2,62216,0.132849574,6.424045802,,,,
1215,"43.6864455, -85.8378196875",Woodhaven,45.5,83291,0.121212121,3.097330097,,,,
1220,"46.3853355, -88.1267986946159",Wyandotte,40.7,67846,0.153442623,7.297626113,,,,
2005,"42.7307885, -83.59564627419354",Addison Twp,46.0,104495,0.047327205,0.258201754,,0.0,0.0,0.0
2010,"42.67296999999999, -83.65154406165226",Rochester Hills,40.9,119054,0.04938989,3.605971564,,5.0,1.0,0.0
2015,"42.86093699999999, -83.60848826770567",Berkley,37.7,113103,0.047065116,9.086746988,,13.0,3.0,0.0
2020,"42.574445499999996, -83.39531244397725",Beverly Hills,45.5,175460,0.022126437,4.07248062,,14.0,12.0,0.0
2025,"42.7968105, -83.5597055754805",Bingham Farms,67.3,218750,0.273802116,2.131612903,,9.0,0.0,0.0
2030,"42.8309845, -83.57296431099711",Birmingham,41.1,153125,0.048842829,7.016883117,,8.0,1.0,0.0
2035,"42.83238149999999, -83.62597253070766",Bloomfield Hills,49.0,200318,0.035793631,1.370186335,,17.0,7.0,0.0
2040,"42.62858, -83.35287843856548",Bloomfield Twp,48.3,157300,0.050406541,2.648975904,,20.0,13.0,1.0
2045,"42.798430999999994, -83.25950670865835",Brandon Twp,43.0,96772,0.052285714,0.625401786,,17.0,13.0,1.0
2050,"42.3046485, -83.5423353440404",Clarkston,57.1,94519,0.022565321,2.520958084,,,,
2055,"42.2959965, -83.53230113447401",Clawson,40.8,86630,0.053798878,8.024113475,,,,
2060,"42.36576299999999, -83.04429118080668",Commerce Twp,42.0,114127,0.051708913,2.138287293,,,,
2065,"42.3297585, -83.04346308035716",Farmington,39.6,94115,0.040491875,6.748235294,,,,
2072,"43.38479250000001, -84.53809525769447",Farmington Hills,41.4,101863,0.063056102,3.911549296,,,,
2075,"42.17052799999999, -83.9820809637574",Ferndale,35.6,91732,0.079251398,7.724193548,,,,
2080,"42.35372699999999, -83.03204849720211",Franklin,49.6,176571,0.022605364,1.526315789,,,,
2085,"42.3527105, -83.03564843474004",Groveland Twp,50.3,103464,0.039075773,0.255627706,,,,
2090,"46.090872499999996, -88.75578937324059",Hazel Park,36.5,62878,0.136385024,8.302777778,,,,
2095,"44.780207499999996, -85.76527809053087",Highland Twp,44.1,100563,0.084896761,0.828225108,,,,
2100,"43.750152, -85.63244053028802",Holly,43.4,61221,0.099779024,3.000502513,,,,
2105,"44.97781049999999, -85.71448763910871",Holly Twp,42.0,94704,0.118192352,0.29,,,,
2110,"44.17186099999999, -85.93919293055316",Huntington Woods,43.8,188229,0.01645049,6.668776371,,,,
2115,"44.595151999999985, -85.07330861403076",Independence Twp,42.0,114675,0.050545962,1.582284483,,,,
2120,"44.2604085, -85.97956244426595",Keego Harbor,41.4,70185,0.084964906,7.567493113,,,,
2125,"43.72347699999999, -85.81347917076502",Lake Angelus,65.4,212368,0.083032491,0.263809524,,,,
2130,"44.06662399999999, -85.57308366165128",Lake Orion,43.8,98871,0.08381295,3.332946636,,,,
2135,"43.714029499999995, -85.75010655029467",Lathrup Village,47.1,99286,0.056471764,4.195854922,,,,
2140,"43.689122, -85.68157824431043",Leonard,39.3,91250,0.036211699,0.565354331,,,,
2145,"43.695049, -86.2427050401902",Lyon Twp,37.7,145000,0.048892796,1.179950739,,,,
2150,"43.6839885, -86.27471088214261",Madison Heights,40.8,66726,0.113295781,6.257929515,,,,
2155,"43.7443885, -85.56545223052456",Milford,42.1,102521,0.086276962,3.991975309,,,,
2160,"44.52993549999999, -84.04860724261243",Milford Twp,45.0,121683,0.030282702,0.505167464,,,,
2170,"43.663824500000004, -85.71139918655214",Novi,39.9,110938,0.047350381,3.3112,,,,
2172,"43.65698599999999, -85.70978904990278",Novi Twp,46.5,159375,0.012875536,3.396501458,,,,
2175,"43.6879595, -85.76636483648932",Oakland Twp,43.2,169765,0.02394226,0.855276596,,,,
2180,"43.70631349999999, -85.81136490354606",Oak Park,37.9,65882,0.142140126,8.981651376,,,,
2185,"43.6499135, -85.72761042797143",Orchard Lake Village,51.4,212813,0.118363795,0.883846154,,,,
2190,"43.6724385, -85.77676791620112",Orion Twp,42.0,115469,0.040641196,1.604072398,,,,
2195,"43.658527500000005, -85.80977319076936",Ortonville,42.5,101667,0.124907613,2.144215531,,,,
2200,"43.6507405, -85.70859318386664",Oxford,43.1,88214,0.073690271,3.719786096,,,,
2205,"43.67396649999999, -85.64432142119044",Oxford Twp,39.0,113580,0.05613646,0.873778802,,,,
2210,"43.671702999999994, -85.61178102658523",Pleasant Ridge,45.5,161058,0.020353303,7.221606648,,,,
2215,"43.64492800000001, -85.67117418853391",Pontiac,35.5,42791,0.256289491,4.762615385,,,,
2220,"43.641347499999995, -85.66136529358354",Auburn Hills,36.2,78727,0.112075049,2.328130841,,,,
2230,"43.634831, -85.61158868329301",Rochester,39.4,104920,0.044355472,5.28122449,,,,
2235,"43.61777149999999, -85.64832105777428",Rose Twp,48.9,104471,0.065955701,0.266666667,,,,
2240,"43.618590499999996, -85.5725261827283",Royal Oak,36.9,95182,0.059522156,7.645970938,,,,
