Tract Code (id),City,Median Age,Median Household Income,Percent People in Poverty,Population Density (Persons/Acre),# of Nearby Restaurants,# of Nearby Coffee Shops,# of Nearby Mosques,lat,lon,transit_stops,pedestrian_score,county_id,income_bracket,density_bracket,restaurant_to_coffee_ratio,coffee_shop_density,potential_demand_index,mosque_index,affordability_index,success_score
5030,Dundee Twp,0.39702233250620356,0.3812399120578728,0.017259182269201145,0.0019851436395371125,1.0,0.9500000000000001,1.0,42.417267,-83.06949844,0.0,0.390518596123625,163.0,High,Low,1.0526304709152936,0.0015943794817401447,2.2996350675784873e-07,1.0,2.2087826542721538e-05,0.45842282652655497
3035,Eastpointe,0.23325062034739452,0.13764111878931207,0.435365503395463,0.4977320943866017,0.30000000000000004,0.0,0.0,42.8110415,-82.93160622,0.0,0.03300157150340493,163.0,Middle,Moderate,300000.00000000006,0.0,1.0,0.0,3.1614999710780794e-07,0.3549502989555101
4018,Barton Hills,0.5285359801488835,1.0,0.0,0.044553877602161104,0.1,0.0,0.0,42.3285895,-84.09949335,0.0,0.040335254059717135,163.0,High,Low,100000.00000000001,0.0,0.1599463018230406,0.0,1.0,0.34603686356471774
4005,Ann Arbor,0.017369727047146455,0.24056847661395836,0.5530846122529602,0.3117447513242805,0.05,0.0,0.0,42.343569,-83.60184408,0.0,0.06574122577265586,163.0,Upper-Middle,Moderate,50000.00000000001,0.0,0.711252964151358,0.0,4.3495703248185656e-07,0.28767451189514437
2090,Hazel Park,0.23573200992555843,0.15869147869561506,0.3244926557197093,0.39806978800401294,0.0,0.0,0.0,46.0908725,-88.75578937,0.0,0.0,71.0,Upper-Middle,Moderate,0.0,0.0,0.7500366771893591,0.0,4.890433939105712e-07,0.28750926710601854
2110,Huntington Woods,0.4168734491315137,0.7222719282075722,0.030108363442253143,0.3191700314851636,0.15000000000000002,0.0,0.0,44.171861,-85.93919293,0.0,0.053431115767417506,101.0,High,Moderate,150000.00000000003,0.0,0.7020490397770914,0.0,2.398828290052761e-05,0.28353172496596557
2075,Ferndale,0.2133995037220845,0.28841960444026815,0.1842557990420916,0.37013214077979245,0.1,0.0,0.0,42.170528,-83.98208096,0.0,0.01204819277108434,161.0,Upper-Middle,Moderate,100000.00000000001,0.0,0.7200980013716096,0.0,1.5653132255617964e-06,0.2818320423212102
5065,London Twp,0.33746898263027314,0.21399700565149565,0.07553577327097664,0.003435117306647747,0.6000000000000001,0.8500000000000001,0.631578947368421,42.392775,-83.01054719,0.0,0.3860660031430069,163.0,Upper-Middle,Low,0.7058815224923265,0.0008245740993335043,3.148925481779377e-07,0.3650651002963356,2.8330175672690445e-06,0.2673476184770689
2065,Farmington,0.3126550868486353,0.2991336171819854,0.08911894090107622,0.32300680277011634,1.0,0.8500000000000001,0.10526315789473684,42.3297585,-83.04346308,0.0,1.0,163.0,Upper-Middle,Moderate,1.1764692041538773,8.771717924566075e-06,2.3841814592290417e-06,0.0006472529447810747,3.3565284509560643e-06,0.25019456606269685
3130,Warren,0.2704714640198511,0.1625715428987632,0.30378997016509707,0.30032725440637525,0.0,0.0,0.0,45.081241,-84.15568667,0.0,0.012572027239392353,119.0,Upper-Middle,Moderate,0.0,0.0,0.5895596648027075,0.0,5.351427753445492e-07,0.2492758273151408
2085,Groveland Twp,0.5781637717121589,0.3411668967129607,0.08564305975859653,0.00950330413718425,1.0,0.75,0.3157894736842105,42.3527105,-83.03564843,0.0,0.8441592456783658,163.0,High,Low,1.333331555557926,0.00026303872055389113,1.5960992229215348e-06,0.06599149664590623,3.983544190625737e-06,0.24639622770711517
7005,Brighton,0.4888337468982632,0.24363925743753911,0.14046744857984672,0.15282657208932862,0.9,0.9500000000000001,0.0,42.272538,-83.7433474,0.0,0.9528548978522788,161.0,Upper-Middle,Low,0.9473674238237644,2.0720519362930997e-05,1.6444451384776698e-06,0.0,1.7344767447833441e-06,0.24292692063253912
2245,Royal Oak Twp,0.1389578163771713,0.07195878049986738,0.6717216410901559,0.3016747373780203,0.0,0.0,0.0,43.6185905,-85.59214865,0.0,0.0,123.0,Middle,Moderate,0.0,0.0,0.5684105439801398,0.0,1.0712573329832032e-07,0.2421026574201816
2150,Madison Heights,0.3424317617866005,0.17599215894325576,0.26781915032403064,0.29933178852768083,0.0,0.0,0.0,43.6839885,-86.27471088,0.0,0.0007857517024620222,127.0,Upper-Middle,Moderate,0.0,0.0,0.5654764960723198,0.0,6.571281463710856e-07,0.2414871181990785
1065,Grosse Pointe,0.4094292803970224,0.5143580359591582,0.048875532561257956,0.3920418999861414,1.0,0.9,0.10526315789473684,42.3364615,-83.07103609,0.0,0.8944473546359353,163.0,High,Moderate,1.1111098765445815,7.652223774760488e-06,2.144803554044127e-06,0.0005332777395984288,1.0523619598311372e-05,0.2343289622197005
5055,Ida Twp,0.3796526054590571,0.31391652691541644,0.06006658258029269,0.006966612224627714,0.9500000000000001,0.9500000000000001,0.9473684210526315,42.416058,-83.07251299,0.0,0.3530644316396019,163.0,Upper-Middle,Low,0.9999989473695291,0.00045448376927088017,1.6555875891193542e-07,0.27005087296925995,5.226055609875799e-06,0.23393056486060287
6045,Clyde Twp,0.5012406947890821,0.2637724295136657,0.09382378152349866,0.008675222209508528,1.0,0.75,0.0,42.6078475,-83.92772486,0.0,0.8881613410162391,93.0,Upper-Middle,Low,1.333331555557926,0.00028814384182786093,1.7045628643572846e-06,0.0,2.811330068992521e-06,0.23319637517498296
2080,Franklin,0.5607940446650125,0.6698573413242574,0.04521575716879162,0.07086003243044417,1.0,0.8500000000000001,0.3684210526315789,42.353727,-83.0320485,0.0,0.8483499214248299,163.0,High,Low,1.1764692041538773,3.998436427121604e-05,1.4890906658877123e-06,0.010326368460324612,1.481436049966426e-05,0.23034973546016116
2275,Walled Lake,0.3399503722084368,0.17873023437745877,0.26453520941860986,0.22675626469784013,0.1,0.0,0.0,46.193998,-86.96789569,0.0,0.03719224724986905,3.0,Upper-Middle,Low,100000.00000000001,0.0,0.497327346233065,0.0,6.756361814145103e-07,0.2299108087729829
1075,Grosse Pointe Park,0.33498759305210923,0.42358791290312436,0.12096115564841227,0.3929680841158944,1.0,0.6000000000000001,0.10526315789473684,42.32527,-83.06140816,0.0,0.851231011000524,151.0,High,Moderate,1.6666638888935181,5.089458893438447e-06,3.358653702086981e-06,0.0005320208636783349,3.501821794035499e-06,0.22784528899107706
1040,Ecorse,0.23076923076923073,0.07868032856905212,0.5789380255317578,0.24874220430582794,0.1,0.0,0.0,42.1039985,-83.47037242,0.0,0.016762702985856474,163.0,Middle,Moderate,100000.00000000001,0.0,0.5002598833937938,0.0,1.359043441522774e-07,0.22757940347719577
5045,Exeter Twp,0.5459057071960299,0.3329122062413733,0.18787127241483012,0.0042145599423387475,0.7000000000000001,0.75,0.42105263157894735,42.3966775,-83.00375687,0.0,0.4009952854897853,163.0,High,Low,0.9333320888905482,0.000593041027572965,4.694767598440731e-07,0.19837720671976383,1.7720135172809786e-06,0.21960362250853305
2230,Rochester,0.3076923076923077,0.34771310004990585,0.0986023001184498,0.2521703917668782,0.0,0.0,0.0,43.634831,-85.61158868,0.0,0.0,123.0,High,Moderate,0.0,0.0,0.4751351858365958,0.0,3.5263840016734366e-06,0.2187845017359493
5015,Berlin Twp(Monroe),0.29776674937965264,0.32910857435740654,0.17524381979461173,0.01714105676536739,0.35000000000000003,0.0,0.0,41.812267,-83.44175582,0.0,0.16238868517548455,163.0,High,Low,350000.00000000006,0.0,0.3382667443966312,0.0,1.877993168318038e-06,0.20892536447411414
3125,Utica,0.4416873449131514,0.12562775662151165,0.1602640622266331,0.21673525388025588,0.0,0.0,0.0,43.298946,-84.51825808,0.0,0.0,57.0,Middle,Low,0.0,0.0,0.4083688214611692,0.0,7.838748812505352e-07,0.20209236214026854
1205,Wayne,0.3101736972704715,0.12087546477594092,0.3661776211978839,0.2155516968417608,0.0,0.0,0.0,45.072146,-84.36592414,0.0,0.0007857517024620222,119.0,Middle,Low,0.0,0.0,0.40761928251197554,0.0,3.300997321485339e-07,0.2020227494033096
2300,Wolverine Lake,0.4193548387096774,0.2735422783125543,0.15917886524297598,0.19914985319014955,0.1,0.0,0.0,46.1714855,-86.97059567,0.0,0.010476689366160292,3.0,Upper-Middle,Low,100000.00000000001,0.0,0.3949746923903893,0.0,1.718447731407567e-06,0.20031552019206766
